,open,high,low,close,volume
0,0.10470000,0.48000000,0.10470000,0.4543,161899418.20000000
1,0.45430000,0.46400000,0.37800000,0.3976,246637317.20000000
2,0.39750000,0.39800000,0.32800000,0.3908,160034174.30000000
3,0.39090000,0.55000000,0.38000000,0.5005,258721098.90000000
4,0.50010000,0.52760000,0.38540000,0.4367,192193713.00000000
5,0.43670000,0.49500000,0.40290000,0.4572,171075784.10000000
6,0.45720000,0.49760000,0.42710000,0.4419,89223560.00000000
7,0.44220000,0.98900000,0.41440000,0.9119,722495974.70000000
8,0.91200000,1.48000000,0.84020000,1.3412,617414148.10000000
9,1.34120000,1.85980000,1.32000000,1.731,670020282.60000000
10,1.73030000,1.76350000,1.42980000,1.6921,219599530.50000000
11,1.69200000,2.50000000,1.65000000,2.1536,420104278.70000000
12,2.15360000,2.22630000,1.73400000,1.8764,258909405.20000000
13,1.87600000,2.15990000,1.76590000,1.9807,299821505.40000000
14,1.98070000,1.99900000,1.62020000,1.7646,165817962.00000000
15,1.76410000,1.85900000,1.53000000,1.72,200784609.50000000
16,1.72020000,2.02200000,1.70410000,1.9271,198478902.30000000
17,1.92710000,2.20410000,1.64790000,1.7415,362420243.90000000
18,1.74190000,1.84560000,1.67000000,1.7312,101379146.90000000
19,1.73130000,1.92670000,1.62430000,1.836,109018668.90000000
20,1.83600000,1.94630000,1.77080000,1.8417,86951826.30000000
21,1.84160000,1.85380000,1.68450000,1.7414,78509758.00000000
22,1.74120000,1.76910000,1.65000000,1.6861,38518220.90000000
23,1.68680000,1.72060000,1.45640000,1.585,108032375.00000000
24,1.58440000,1.66510000,1.55810000,1.5867,65188756.30000000
25,1.58710000,1.64770000,1.50550000,1.6427,62436456.40000000
26,1.64310000,1.88740000,1.59540000,1.7907,117288592.90000000
27,1.79100000,1.94140000,1.66300000,1.6959,91579651.40000000
28,1.69600000,1.70110000,1.56350000,1.5937,73641462.00000000
29,1.59370000,1.71490000,1.56000000,1.6284,69860180.80000000
30,1.62850000,1.63500000,1.53450000,1.5989,42131460.30000000
31,1.59900000,1.63690000,1.50000000,1.6365,55867187.90000000
32,1.63620000,1.78140000,1.58300000,1.6385,111343590.30000000
33,1.63860000,1.78690000,1.61230000,1.7151,89769976.80000000
34,1.71530000,1.87400000,1.64810000,1.7012,97935346.00000000
35,1.70150000,1.72650000,1.56790000,1.6161,73801129.40000000
36,1.61600000,1.65320000,1.55000000,1.5901,42327726.40000000
37,1.59010000,1.63500000,1.42340000,1.462,90858412.50000000
38,1.46160000,1.48380000,1.41000000,1.4272,44725078.20000000
39,1.42700000,1.48250000,1.25930000,1.4632,150919950.30000000
40,1.46300000,1.46500000,1.30250000,1.3348,93343611.30000000
41,1.33490000,1.53990000,1.31220000,1.3211,175873631.70000000
42,1.32090000,1.36980000,1.30260000,1.3488,48176477.10000000
43,1.34870000,1.36310000,1.21540000,1.2924,98238965.70000000
44,1.29290000,1.29810000,1.23340000,1.2598,61603337.80000000
45,1.25880000,1.27000000,1.15410000,1.1606,159310826.00000000
46,1.16060000,1.16470000,1.04140000,1.1295,109470697.70000000
47,1.12930000,1.28540000,1.06000000,1.2641,162156723.20000000
48,1.26460000,1.26660000,1.15000000,1.1577,76897533.20000000
49,1.15750000,1.28300000,1.14150000,1.1782,113443240.60000000
50,1.17800000,1.17800000,1.09130000,1.1161,41866217.80000000
51,1.11650000,1.21000000,1.10900000,1.166,59962383.80000000
52,1.16600000,1.22000000,1.07010000,1.0847,69760057.30000000
53,1.08470000,1.27610000,1.06680000,1.235,160789172.40000000
54,1.23500000,1.27500000,1.16100000,1.1678,59700235.40000000
55,1.16770000,1.33330000,1.11950000,1.295,85189442.60000000
56,1.29470000,1.41690000,1.22270000,1.2344,144195918.30000000
57,1.23440000,1.23530000,1.10000000,1.1121,138597904.30000000
58,1.11220000,1.14330000,1.08120000,1.1298,49989773.50000000
59,1.12950000,1.22200000,1.11510000,1.1498,59376149.30000000
60,1.14990000,1.15730000,1.02890000,1.081,97900235.60000000
61,1.08090000,1.09710000,1.04280000,1.0798,63152797.00000000
62,1.07980000,1.10340000,1.03300000,1.0841,41278699.10000000
63,1.08410000,1.12000000,1.05610000,1.0643,47555502.30000000
64,1.06470000,1.12530000,1.05490000,1.0624,65661081.20000000
65,1.06220000,1.11660000,1.00000000,1.047,131531217.90000000
66,1.04700000,1.16630000,1.02980000,1.0924,96252391.40000000
67,1.09240000,1.16970000,1.07020000,1.1125,75644630.20000000
68,1.11240000,1.18600000,1.10180000,1.1161,61062036.70000000
69,1.11600000,1.12940000,1.06520000,1.0669,40557653.90000000
70,1.06690000,1.11340000,1.06520000,1.1018,25142566.80000000
71,1.10140000,1.27490000,1.10140000,1.2362,145990460.80000000
72,1.23670000,1.34110000,1.14400000,1.3065,127118909.60000000
73,1.30660000,1.36790000,1.24270000,1.2858,120626995.30000000
74,1.28580000,1.29580000,1.24670000,1.2835,29627419.10000000
75,1.28340000,1.28350000,1.21290000,1.2654,64389134.30000000
